x0000,y0000
0,0.00220703125,
1,0.002060546875,
2,0.002060546875,
3,0.002060546875,
4,0.002659505208,
5,0.002659505208,
6,0.002659505208,
7,0.002835286458,
8,0.002835286458,
9,0.002835286458,
10,0.002835286458,
11,0.002545572917,
12,0.002545572917,
13,0.002545572917,
14,0.002552083333,
15,0.002552083333,
16,0.002552083333,
17,0.002649739583,
18,0.002649739583,
19,0.002649739583,
20,0.002522786458,
21,0.002522786458,
22,0.002522786458,
23,0.0045703125,
24,0.0045703125,
25,0.0045703125,
26,0.0045703125,
27,0.005904947917,
28,0.005904947917,
29,0.005904947917,
30,0.002587890625,
31,0.002587890625,
32,0.002587890625,
33,0.003421223958,
34,0.003421223958,
35,0.003421223958,
36,0.005078125,
37,0.005078125,
38,0.005078125,
39,0.002805989583,
40,0.002805989583,
41,0.002805989583,
42,0.002805989583,
43,0.002994791667,
44,0.002994791667,
45,0.002994791667,
46,0.005139973958,
47,0.005139973958,
48,0.005139973958,
49,0.002506510417,
50,0.002506510417,
51,0.002506510417,
52,0.006611328125,
53,0.006611328125,
54,0.006611328125,
55,0.002890625,
56,0.002890625,
57,0.002890625,
58,0.002890625,
59,0.005452473958,
60,0.005452473958,
61,0.005452473958,
62,0.003111979167,
63,0.003111979167,
64,0.003111979167,
65,0.006497395833,
66,0.006497395833,
67,0.006497395833,
68,0.002975260417,
69,0.002975260417,
70,0.002975260417,
71,0.005654296875,
72,0.005654296875,
73,0.005654296875,
74,0.005654296875,
75,0.0032421875,
76,0.0032421875,
77,0.0032421875,
78,0.004798177083,
79,0.004798177083,
80,0.004798177083,
81,0.006025390625,
82,0.006025390625,
83,0.006025390625,
84,0.01012044271,
85,0.01012044271,
86,0.01012044271,
87,0.004664713542,
88,0.004664713542,
89,0.004664713542,
90,0.004664713542,
91,0.005139973958,
92,0.005139973958,
93,0.005139973958,
94,1.308486328,
95,1.308486328,
96,1.308486328,
97,118.5645085,
98,118.5645085,
99,118.5645085,
100,118.3905208,
101,118.3905208,
102,118.3905208,
103,118.8411751,
104,118.8411751,
105,118.8411751,
106,118.8411751,
107,119.3482031,
108,119.3482031,
109,119.3482031,
110,119.9701107,
111,119.9701107,
112,119.9701107,
113,120.6472982,
114,120.6472982,
115,120.6472982,
116,121.4009375,
117,121.4009375,
118,121.4009375,
119,122.3125911,
120,122.3125911,
121,122.3125911,
122,122.3125911,
123,123.1597331,
124,123.1597331,
125,123.1597331,
126,124.1144303,
127,124.1144303,
128,124.1144303,
129,125.1127897,
130,125.1127897,
131,125.1127897,
132,126.1409147,
133,126.1409147,
134,126.1409147,
135,127.2186914,
136,127.2186914,
137,127.2186914,
138,127.2186914,
139,128.291084,
140,128.291084,
141,128.291084,
142,129.3674121,
143,129.3674121,
144,129.3674121,
145,130.357946,
146,130.357946,
147,130.357946,
148,131.3479199,
149,131.3479199,
150,131.3479199,
151,132.3113997,
152,132.3113997,
153,132.3113997,
154,132.3113997,
155,133.2006738,
156,133.2006738,
157,133.2006738,
158,134.0807943,
159,134.0807943,
160,134.0807943,
161,134.770944,
162,134.770944,
163,134.770944,
164,135.6111361,
165,135.6111361,
166,135.6111361,
167,136.3966211,
168,136.3966211,
169,136.3966211,
170,136.3966211,
171,137.1467806,
172,137.1467806,
173,137.1467806,
174,137.9615755,
175,137.9615755,
176,137.9615755,
177,138.592666,
178,138.592666,
179,138.592666,
180,139.3132975,
181,139.3132975,
182,139.3132975,
183,138.5623633,
184,138.5623633,
185,138.5623633,
186,138.5623633,
187,139.643431,
188,139.643431,
189,139.643431,
190,149.2508008,
191,149.2508008,
192,149.2508008,
193,147.9418034,
194,147.9418034,
195,147.9418034,
196,145.4189421,
197,145.4189421,
198,145.4189421,
199,143.3519108,
200,143.3519108,
201,143.3519108,
202,141.3944141,
203,141.3944141,
204,141.3944141,
205,139.5862467,
206,139.5862467,
207,139.5862467,
208,139.5862467,
209,137.7627507,
210,137.7627507,
211,137.7627507,
212,136.3725553,
213,136.3725553,
214,136.3725553,
215,134.9931576,
216,134.9931576,
217,134.9931576,
218,133.9069922,
219,133.9069922,
220,133.9069922,
221,132.7147298,
222,132.7147298,
223,132.7147298,
224,132.7147298,
225,131.7785645,
226,131.7785645,
227,131.7785645,
