x0000,y0000
0,14.77758464,
1,16.51514648,
2,16.49999349,
3,16.60750651,
4,16.53942708,
5,16.01482747,
6,15.90054362,
7,15.84101563,
8,15.76477214,
9,16.04325195,
10,15.97176107,
11,15.9941862,
12,15.9941862,
13,15.84402669,
14,15.84402669,
15,15.88846029,
16,15.46748372,
17,15.52494466,
18,15.46303711,
19,15.43839193,
20,15.45837565,
21,15.44101237,
22,15.45461914,
23,15.32277995,
24,15.28012695,
25,15.2333138,
26,15.22994141,
27,15.28595703,
28,15.28595703,
29,15.18626628,
30,15.18626628,
31,15.10931641,
32,15.06890951,
33,15.08429687,
34,15.02901367,
35,15.04604818,
36,15.01835937,
37,15.07943359,
38,15.04484049,
39,15.25069661,
40,15.28344401,
41,15.23048828,
42,15.18576172,
43,15.19668945,
44,15.19668945,
45,15.12972982,
46,15.12972982,
47,15.10006185,
48,15.15044271,
49,15.01710612,
50,15.13333333,
51,14.99703451,
52,14.90565755,
53,14.99808268,
54,15.11786784,
55,14.92420247,
56,15.14936523,
57,15.00368164,
58,14.9911556,
59,15.02783529,
60,15.02783529,
61,15.13534831,
62,15.13534831,
63,15.06984701,
64,15.08157878,
65,15.10744466,
66,15.08720378,
67,15.06933919,
68,15.15017253,
69,14.62499349,
70,15.05516276,
71,14.76983398,
72,14.74802083,
73,14.72199219,
74,14.84353841,
75,14.70748047,
76,14.70748047,
77,14.76928385,
78,14.76928385,
79,14.80553385,
80,14.66018555,
81,14.71972005,
82,14.76136393,
83,14.71049154,
84,14.75210612,
85,14.75274414,
86,14.77706706,
87,14.73074219,
88,14.64726237,
89,14.72445313,
90,14.74887044,
91,14.60557943,
92,14.60557943,
93,14.56358398,
94,14.56358398,
95,14.65295898,
96,14.67963542,
97,14.71630534,
98,14.65253906,
99,14.66906576,
100,14.61550781,
101,14.62848307,
102,14.5967513,
103,14.63333984,
104,14.56985677,
105,14.98912435,
106,14.85873047,
107,14.88791992,
108,14.88791992,
109,14.85879557,
110,14.85879557,
111,14.78482422,
112,14.87642904,
113,14.8219401,
114,14.94877604,
115,14.88225911,
116,14.76272786,
117,14.81176432,
118,14.80908854,
119,14.86767578,
120,14.84829102,
121,14.86962565,
122,14.73983398,
123,14.72256185,
124,14.72256185,
125,14.76784831,
126,14.76784831,
127,14.69748372,
128,14.68517578,
129,14.68618164,
130,14.74775716,
131,14.66597656,
132,14.69381185,
133,14.6881543,
134,14.70802734,
135,14.71945638,
136,14.69021159,
137,14.76089193,
138,14.63111328,
139,14.68477865,
140,14.68477865,
141,14.6646875,
142,14.6646875,
143,14.55202799,
144,14.5246224,
145,14.6474056,
146,14.53429362,
147,14.54278971,
148,14.59816406,
149,14.6081543,
150,14.61142904,
151,14.54339844,
152,14.59893555,
153,14.4390918,
154,14.58191081,
155,14.50039388,
156,14.41935221,
157,14.50156576,
158,14.50156576,
159,14.45988607,
160,14.45988607,
161,14.40591797,
162,14.48533529,
163,14.20930664,
164,14.23263346,
165,14.13277344,
166,14.19090169,
167,14.14993815,
168,14.09791667,
169,14.09340495,
170,14.06760742,
171,14.15145833,
172,14.05946615,
173,14.11086914,
174,14.07863607,
175,13.9954362,
176,13.9954362,
177,14.12919596,
178,14.12919596,
179,14.06895182,
180,14.06168294,
181,14.0886849,
182,14.05414063,
183,14.01297201,
184,14.15079102,
185,13.96944987,
186,14.06145833,
187,13.93477865,
188,13.99263346,
189,13.97111328,
190,13.97272135,
191,13.97651042,
192,13.97651042,
193,13.97208333,
194,13.97208333,
195,13.89655273,
196,13.92735352,
197,13.9008138,
198,13.92010091,
199,13.98241536,
200,13.8569694,
201,13.87969727,
202,13.86655273,
203,13.88197917,
204,13.85799154,
205,13.85254232,
206,13.8261263,
